pkey,created_on,last_updated_on,version,category,competition_id,country,end_date,match_format,name,no_of_matches,no_of_rounds,no_of_teams,season,short_name,src_id,start_date
92,"2021-02-15 00:35:17","2021-02-15 00:35:17",1,domestic,BPL,bd,2017-12-12,t20,"Bangladesh Premier League",46,3,8,2017/18,bpl-1718,107368,2017-11-03
93,"2021-02-15 00:37:12","2021-02-15 00:37:12",1,domestic,BPL,bd,2019-02-09,t20,"Bangladesh Premier League",46,5,8,2018/19,bpl-1819,112162,2019-01-05
94,"2021-02-15 00:38:55","2021-02-15 00:38:55",1,domestic,BPL,bd,2020-01-18,t20,"Bangladesh Premier League",46,1,8,2019,bpl-201920,113935,2019-12-11
95,"2021-02-15 00:40:26","2021-02-15 00:40:26",1,domestic,CSAT20,za,2019-05-05,t20,"CSA T20 Challenge",33,3,7,2019,ctc-1819,112797,2019-04-05
96,"2021-02-15 00:41:41","2021-02-15 00:41:41",1,domestic,GT20,ca,2018-07-15,t20,"Global T20 Canada",22,6,7,2018,gtc-18,111353,2018-06-28
97,"2021-02-15 00:42:34","2021-02-15 00:42:34",1,domestic,GT20,ca,2019-08-11,t20,"Global T20 Canada 2019",22,6,6,2019,GTC19,113379,2019-07-25
98,"2021-02-15 00:43:19","2021-02-15 00:43:19",1,domestic,LPL,lk,2020-12-16,t20,"Lanka Premier League",23,2,5,2020,lpl-202021,117007,2020-11-21
99,"2021-02-15 00:44:25","2021-02-15 00:44:25",1,domestic,NationalT20Pak,pk,2019-10-24,t20,"National T20 Cup",18,1,7,2019,ntc-201920,113751,2019-10-13
100,"2021-02-15 00:45:09","2021-02-15 00:45:09",1,domestic,NationalT20Pak,pk,2020-10-18,t20,"National T20 Cup",33,1,7,2020,NTC20,116779,2020-09-30
101,"2021-02-15 00:46:19","2021-02-15 00:46:19",1,domestic,RamSlamT20,za,2017-12-16,t20,"Ram Slam T20 Challenge",33,3,6,2017/18,rstc-1718,108609,2017-11-10
102,"2021-02-15 00:47:09","2021-02-15 00:47:09",1,domestic,SMAT,in,2018-01-27,t20,"Inter State Twenty-20 Tournament",86,8,29,2017/18,istt-1718,108902,2018-01-07
103,"2021-02-15 00:50:59","2021-02-15 00:50:59",1,domestic,SMAT,in,2019-03-14,t20,"Syed Mushtaq Ali Trophy",140,8,38,2018/19,smat-t20,112301,2019-02-21
104,"2021-02-15 00:56:19","2021-02-15 00:56:19",1,domestic,SMAT,in,2019-12-01,t20,"Syed Mushtaq Ali Trophy",149,0,39,2019,smat-201920,113849,2019-11-08
105,"2021-02-15 01:01:40","2021-02-15 01:01:40",1,domestic,SMAT,in,2021-01-31,t20,"Syed Mushtaq Ali Trophy",102,6,38,2021,SMT21,117429,2021-01-10
106,"2021-02-15 01:06:08","2021-02-15 01:06:08",1,domestic,SS,nz,2018-01-14,t20,"Super Smash",32,3,6,2017/18,super-smash-2016-17,106485,2017-12-13
107,"2021-02-15 01:07:20","2021-02-15 01:07:20",1,domestic,SS,nz,2019-02-17,t20,"Super Smash",32,3,7,2018/19,ss-1819,111881,2018-12-22
108,"2021-02-15 01:08:37","2021-02-15 01:08:37",1,domestic,SS,nz,2020-01-19,t20,"Super Smash",32,1,7,2019,ss-201920,113933,2019-12-13
109,"2021-02-15 01:09:37","2021-02-15 01:09:37",1,domestic,SS,nz,2021-02-14,t20,"Super Smash",32,1,6,2020,SS20,117202,2020-12-24
110,"2021-02-15 01:10:42","2021-02-15 01:10:42",1,international,MISC,int,2018-08-03,t20i,"Nepal tour of England and Netherlands",5,2,3,2018,ntoean-18,111467,2018-08-01
